#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
"kiwifarms.cc",suspend,false,false,"FediFenced",false
"rapist.town",suspend,false,false,"FediFenced",false
"aethy.com",suspend,false,false,"FediFenced",false
"ryona.agency",suspend,false,false,"FediFenced",false
"lolison.top",suspend,false,false,"FediFenced",false
"cawfee.club",suspend,false,false,"FediFenced",false
"shota.house",suspend,false,false,"FediFenced",false
"childpawn.shop",suspend,false,false,"FediFenced",false
"poa.st",suspend,false,false,"FediFenced",false
"gothloli.club",suspend,false,false,"FediFenced",false
"rapefeminists.network",suspend,false,false,"FediFenced",false
"bigguys.club",suspend,false,false,"FediFenced",false
"nicecrew.digital",suspend,false,false,"FediFenced",false
"cum.salon",suspend,false,false,"FediFenced",false
"shota.social",suspend,false,false,"FediFenced",false
"bae.st",suspend,false,false,"FediFenced",false
"baraag.net",suspend,false,false,"FediFenced",false
"freespeechextremist.com",suspend,false,false,"FediFenced",false
"comfyboy.club",suspend,false,false,"FediFenced",false
"smuglo.li",suspend,false,false,"FediFenced",false
"beefyboys.win",suspend,false,false,"FediFenced",false
"yggdrasil.social",suspend,false,false,"FediFenced",false
"rapemeat.solutions",suspend,false,false,"FediFenced",false
"posting.lolicon.rocks",suspend,false,false,"FediFenced",false
"urchan.org",suspend,false,false,"FediFenced",false
"loli.best",suspend,false,false,"FediFenced",false
"noagendasocial.com",suspend,false,false,"FediFenced",false
