domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"kiwifarms.cc",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"rapist.town",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"aethy.com",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"ryona.agency",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"lolison.top",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"cawfee.club",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"shota.house",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"childpawn.shop",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"poa.st",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"gothloli.club",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"rapefeminists.network",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"bigguys.club",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"nicecrew.digital",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"cum.salon",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"shota.social",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"bae.st",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"baraag.net",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"freespeechextremist.com",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"comfyboy.club",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"smuglo.li",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"beefyboys.win",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"yggdrasil.social",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"rapemeat.solutions",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"posting.lolicon.rocks",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"urchan.org",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"loli.best",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"noagendasocial.com",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
