#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
"076.ne.jp",suspend,false,false,"FediFence.Social",false
"101010.pl",suspend,false,false,"FediFence.Social",false
"13bells.com",suspend,false,false,"FediFence.Social",false
"5dollah.click",suspend,false,false,"FediFence.Social",false
"8777.ch",suspend,false,false,"FediFence.Social",false
"absturztau.be",suspend,false,false,"FediFence.Social",false
"activitypub-troll.cf",suspend,false,false,"FediFence.Social",false
"aethy.com",suspend,false,false,"FediFence.Social",false
"airis.work",suspend,false,false,"FediFence.Social",false
"akm.longyap.name.my",suspend,false,false,"FediFence.Social",false
"amala.schwartzwelt.xyz",suspend,false,false,"FediFence.Social",false
"anemoneya.me",suspend,false,false,"FediFence.Social",false
"angrytoday.com",suspend,false,false,"FediFence.Social",false
"anime.website",suspend,false,false,"FediFence.Social",false
"anon-kenkai.com",suspend,false,false,"FediFence.Social",false
"arachnid.town",suspend,false,false,"FediFence.Social",false
"asimon.org",suspend,false,false,"FediFence.Social",false
"asphodel.rip",suspend,false,false,"FediFence.Social",false
"atyh.cc",suspend,false,false,"FediFence.Social",false
"awoo.fyi",suspend,false,false,"FediFence.Social",false
"bae.st",suspend,false,false,"FediFence.Social",false
"bajax.us",suspend,false,false,"FediFence.Social",false
"banepo.st",suspend,false,false,"FediFence.Social",false
"baraag.net",suspend,false,false,"FediFence.Social",false
"beefyboys.win",suspend,false,false,"FediFence.Social",false
"beepboop.ga",suspend,false,false,"FediFence.Social",false
"bigguys.club",suspend,false,false,"FediFence.Social",false
"bikeshed.party",suspend,false,false,"FediFence.Social",false
"blacksun.social",suspend,false,false,"FediFence.Social",false
"blazingopen.space",suspend,false,false,"FediFence.Social",false
"blob.cat",suspend,false,false,"FediFence.Social",false
"bookwor.ms",suspend,false,false,"FediFence.Social",false
"bozgor.org",suspend,false,false,"FediFence.Social",false
"brapbarn.farm",suspend,false,false,"FediFence.Social",false
"brotka.st",suspend,false,false,"FediFence.Social",false
"bruh.homd.xyz",suspend,false,false,"FediFence.Social",false
"cafkafk.com",suspend,false,false,"FediFence.Social",false
"calobar.club",suspend,false,false,"FediFence.Social",false
"campduffel.social",suspend,false,false,"FediFence.Social",false
"capystan.net",suspend,false,false,"FediFence.Social",false
"cawfee.club",suspend,false,false,"FediFence.Social",false
"childpawn.shop",suspend,false,false,"FediFence.Social",false
"chilira.com",suspend,false,false,"FediFence.Social",false
"chudbuds.lol",suspend,false,false,"FediFence.Social",false
"clq.im",suspend,false,false,"FediFence.Social",false
"clubcyberia.co",suspend,false,false,"FediFence.Social",false
"collapsitarian.io",suspend,false,false,"FediFence.Social",false
"comfyboy.club",suspend,false,false,"FediFence.Social",false
"comfysnug.space",suspend,false,false,"FediFence.Social",false
"commiespace.duckdns.org",suspend,false,false,"FediFence.Social",false
"crid.land",suspend,false,false,"FediFence.Social",false
"criminallycute.fi",suspend,false,false,"FediFence.Social",false
"crlf.ninja",suspend,false,false,"FediFence.Social",false
"crucible.world",suspend,false,false,"FediFence.Social",false
"cryptotooter.com",suspend,false,false,"FediFence.Social",false
"cum.camp",suspend,false,false,"FediFence.Social",false
"cum.salon",suspend,false,false,"FediFence.Social",false
"cyberstorm.one",suspend,false,false,"FediFence.Social",false
"danksquad.org",suspend,false,false,"FediFence.Social",false
