domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"076.ne.jp",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"101010.pl",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"13bells.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"5dollah.click",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"8777.ch",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"absturztau.be",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"activitypub-troll.cf",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"aethy.com",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"airis.work",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"akm.longyap.name.my",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"amala.schwartzwelt.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"anemoneya.me",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"angrytoday.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"anime.website",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"anon-kenkai.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"arachnid.town",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"asimon.org",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"asphodel.rip",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"atyh.cc",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"awoo.fyi",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bae.st",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"bajax.us",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"banepo.st",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"baraag.net",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"beefyboys.win",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"beepboop.ga",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bigguys.club",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"bikeshed.party",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"blacksun.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"blazingopen.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"blob.cat",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bookwor.ms",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bozgor.org",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"brapbarn.farm",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"brotka.st",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"bruh.homd.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
